Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
126445/159743;Dìtské vyšívání;21.18;327.8;306.62;93.54;95
126445/188216;Dìtské vyšívání;211.8;329.4;117.6;35.7;40
126445/188217;Dìtské vyšívání;300.0;329.4;29.4;8.93;10
126445/188219;Dìtské vyšívání;211.8;329.4;117.6;35.7;40
126445/211381;Dìtské vyšívání;302.5;329.4;26.9;8.17;10
126445/230248;Dìtské vyšívání;0.0;332.8;332.8;100.0;100
126445/252609;Dìtské vyšívání;211.8;329.4;117.6;35.7;40
126445/252610;Dìtské vyšívání;21.18;327.8;306.62;93.54;95
126445/282244;Dìtské vyšívání;300.0;329.4;29.4;8.93;10
126445/282245;Dìtské vyšívání;21.18;327.8;306.62;93.54;95
126446/159743;Dìtské vyšívání;21.18;458.8;437.62;95.38;100
126446/188216;Dìtské vyšívání;423.6;461.2;37.6;8.15;10
126446/188217;Dìtské vyšívání;420.0;461.2;41.2;8.93;10
126446/188219;Dìtské vyšívání;423.6;461.2;37.6;8.15;10
126446/211381;Dìtské vyšívání;420.0;461.2;41.2;8.93;10
126446/252609;Dìtské vyšívání;423.6;461.2;37.6;8.15;10
126446/252610;Dìtské vyšívání;21.18;458.8;437.62;95.38;100
126446/282244;Dìtské vyšívání;420.0;461.2;41.2;8.93;10
126446/282245;Dìtské vyšívání;21.18;458.8;437.62;95.38;100
59383/159743;Dìtské vyšívání;21.18;50.35;29.17;57.93;60
59383/188216;Dìtské vyšívání;21.18;50.35;29.17;57.93;60
59383/188217;Dìtské vyšívání;21.18;50.6;29.42;58.14;60
59383/188219;Dìtské vyšívání;21.18;50.35;29.17;57.93;60
59383/211381;Dìtské vyšívání;30.25;50.6;20.35;40.22;45
59383/230248;Dìtské vyšívání;30.25;51.1;20.85;40.8;45
59383/252609;Dìtské vyšívání;21.18;50.35;29.17;57.93;60
59383/252610;Dìtské vyšívání;21.18;50.35;29.17;57.93;60
59383/252611;Dìtské vyšívání;47.19;52.0;4.81;9.25;10
59383/252612;Dìtské vyšívání;46.58;51.9;5.32;10.25;15
59383/252613;Dìtské vyšívání;47.19;52.0;4.81;9.25;10
59383/252614;Dìtské vyšívání;46.58;51.9;5.32;10.25;15
59383/252615;Dìtské vyšívání;47.19;52.0;4.81;9.25;10
59383/252616;Dìtské vyšívání;46.58;51.1;4.52;8.85;10
59383/252617;Dìtské vyšívání;0.0;51.12;51.12;100.0;100
59383/252753;Dìtské vyšívání;46.58;51.1;4.52;8.85;10
59383/255308;Dìtské vyšívání;46.58;51.1;4.52;8.85;10
59383/282244;Dìtské vyšívání;30.0;50.6;20.6;40.71;45
59383/282245;Dìtské vyšívání;21.18;50.35;29.17;57.93;60
143196/190343;Spínací špendlík na pletení 7x22 mm;0.93;288.0;287.07;99.68;100
79081/190343;Spínací špendlík na pletení 7x22 mm;0.93;44.4;43.47;97.91;100
79273/190343;Spínací špendlík na pletení 7x22 mm;0.93;1010.0;1009.07;99.91;100
120234/194197;Spínací krouek na pletení;21.76;168.4;146.64;87.08;90
81529/194197;Spínací krouek na pletení;21.76;51.75;29.99;57.95;60
119012/211590;Plastové jehly délka 90 mm tupé;1.44;133.8;132.36;98.92;100
139608/211590;Plastové jehly délka 90 mm tupé;1.44;471.0;469.56;99.69;100
99314/211590;Plastové jehly délka 90 mm tupé;1.44;20.52;19.08;92.98;95
124842/236505;Dutá jehla / vyšívací pero - sada na vyšívání;261.36;287.5;26.14;9.09;10
137550/252626;Sada vyšívání - pøedloha, jehla, mouline;75.0;89.1;14.1;15.82;20
137550/252627;Sada vyšívání - pøedloha, jehla, mouline;75.02;89.1;14.08;15.8;20
137550/252628;Sada vyšívání - pøedloha, jehla, mouline;75.0;89.1;14.1;15.82;20
137550/252629;Sada vyšívání - pøedloha, jehla, mouline;75.0;90.0;15.0;16.67;20
137550/252630;Sada vyšívání - pøedloha, jehla, mouline;75.02;90.0;14.98;16.64;20
137550/252631;Sada vyšívání - pøedloha, jehla, mouline;75.02;90.0;14.98;16.64;20
137550/252663;Sada vyšívání - pøedloha, jehla, mouline;75.02;90.0;14.98;16.64;20
137550/252674;Sada vyšívání - pøedloha, jehla, mouline;75.02;90.0;14.98;16.64;20
137551/252626;Sada vyšívání - pøedloha, jehla, mouline;416.0;504.1;88.1;17.48;20
137551/252627;Sada vyšívání - pøedloha, jehla, mouline;420.08;499.1;79.02;15.83;20
137551/252628;Sada vyšívání - pøedloha, jehla, mouline;416.0;499.1;83.1;16.65;20
137551/252629;Sada vyšívání - pøedloha, jehla, mouline;416.0;504.1;88.1;17.48;20
4556/106771;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";26.02;43.5;17.48;40.18;45
4556/141672;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";23.41;43.5;20.09;46.18;50
4556/141673;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";23.41;43.5;20.09;46.18;50
4556/156309;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";26.0;43.5;17.5;40.23;45
4556/188533;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";26.02;43.5;17.48;40.18;45
4557/106771;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";23.41;140.95;117.54;83.39;85
4557/141672;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;141.7;24.65;17.4;20
4557/141673;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;141.7;24.65;17.4;20
4557/156309;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;141.7;24.65;17.4;20
4557/188533;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";117.05;141.7;24.65;17.4;20
95958/106771;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;510.1;41.9;8.21;10
95958/141672;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;510.1;41.9;8.21;10
95958/141673;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;510.1;41.9;8.21;10
95958/156309;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;510.1;41.9;8.21;10
95958/188533;"Háèek na háèkování vel. 6; 7; 8; 9 a 10 Pony";468.2;510.1;41.9;8.21;10
107838/139386;Šablony na vırobu bambulek 4 sady;69.12;213.96;144.84;67.69;70
107839/139386;Šablony na vırobu bambulek 4 sady;69.12;374.4;305.28;81.54;85
43765/139386;Šablony na vırobu bambulek 4 sady;157.08;164.36;7.28;4.43;5
50370/147638;Rovné jehlice è. 10 bambus;26.46;49.2;22.74;46.22;50
86194/147638;Rovné jehlice è. 10 bambus;26.46;716.75;690.29;96.31;100
99177/147638;Rovné jehlice è. 10 bambus;105.84;128.1;22.26;17.38;20
116242/174506;Rovné jehlice è. 3,5;13.55;293.8;280.25;95.39;100
116242/255150;Rovné jehlice è. 3,5;13.55;293.8;280.25;95.39;100
69248/174506;Rovné jehlice è. 3,5;13.55;32.23;18.68;57.96;60
69248/255150;Rovné jehlice è. 3,5;13.55;32.23;18.68;57.96;60
69500/174506;Rovné jehlice è. 3,5;13.55;104.9;91.35;87.08;90
69500/255150;Rovné jehlice è. 3,5;13.55;104.9;91.35;87.08;90
117966/174508;"Rovné jehlice è. 4; 4,5";13.33;289.0;275.67;95.39;100
117966/196684;"Rovné jehlice è. 4; 4,5";13.33;289.0;275.67;95.39;100
69249/174508;"Rovné jehlice è. 4; 4,5";13.33;27.74;14.41;51.95;55
69249/196684;"Rovné jehlice è. 4; 4,5";13.33;27.74;14.41;51.95;55
69504/174508;"Rovné jehlice è. 4; 4,5";13.33;90.3;76.97;85.24;90
69504/196684;"Rovné jehlice è. 4; 4,5";13.33;90.3;76.97;85.24;90
110361/174512;Rovné jehlice è. 5;15.25;118.0;102.75;87.08;90
69251/174512;Rovné jehlice è. 5;15.25;36.26;21.01;57.94;60
69513/174512;Rovné jehlice è. 5;15.25;826.0;810.75;98.15;100
109685/174551;Rovné jehlice è. 5,5;321.8;350.5;28.7;8.19;10
69252/174551;Rovné jehlice è. 5,5;16.09;38.27;22.18;57.96;60
69518/174551;Rovné jehlice è. 5,5;114.95;125.2;10.25;8.19;10
